trajectory_id,checkpoint,arm,u_obs,u_note,passed,total,success,tool_calls,output_tokens,seconds,usd,build_id
baseline,,-,,,7,8,N,89,19551,372,0.9651,1039175445
baseline,,-,,,0,8,N,62,15568,431,0.5026,1039182951
oracle-gold,,-,,,8,8,Y,70,,3600,,1039175447
mcp-b40-l2000-r2,5,mcp,0.2000,0.4667,5,8,N,84,25515,502,0.7964,1039177308
mcp-b40-l2000-r2,10,mcp,0.8000,0.6667,5,8,N,60,17762,361,0.5311,1039177310
mcp-b40-l2000-r2,20,mcp,0.8667,0.8000,0,8,N,99,20064,377,0.7546,1039177312
mcp-b40-l2000-r3,5,mcp,0.5333,0.6667,6,8,N,44,13694,268,0.3487,1039177314
mcp-b40-l2000-r3,10,mcp,0.6000,0.6667,5,8,N,72,21378,448,0.6225,1039177316
mcp-b40-l2000-r3,20,mcp,0.7333,0.6667,5,8,N,93,23246,1189,0.9124,1039177318
none-b40-l2000-r1,5,shell,0.2000,0.1333,0,8,N,72,16712,551,0.6960,1039177320
none-b40-l2000-r1,10,shell,0.6000,0.4667,6,8,N,78,24926,469,0.7588,1039177322
none-b40-l2000-r1,20,shell,0.7333,0.7333,7,8,N,67,25112,464,0.6811,1039177324
none-b40-l2000-r3,5,shell,0.1333,0.3333,7,8,N,61,13527,296,0.4871,1039177326
none-b40-l2000-r3,10,shell,0.2000,0.3333,5,8,N,126,32082,888,1.3028,1039177328
none-b40-l2000-r3,20,shell,0.2667,0.4000,7,8,N,77,21523,462,0.6882,1039177330
