run,case,cond,passed,total,residual,calls,used,refused,note,tokens,secs,usd
1039759218,oauth-grant-type,mcp-b40-l2000-r1@5,0,10,10,33,20,2,2466,19309,177,0.2981
1039759250,oauth-grant-type,mcp-b40-l2000-r1@10,0,10,10,39,20,7,2941,12949,155,0.2925
1039759273,oauth-grant-type,mcp-b40-l2000-r1@20,0,10,10,30,20,2,2885,10734,187,0.2551
1039759503,oauth-grant-type,mcp-b40-l2000-r2@5,0,10,10,32,20,5,2734,10213,91,0.2206
1039759505,oauth-grant-type,mcp-b40-l2000-r2@10,0,10,10,34,20,3,2563,10302,282,0.2236
1039760195,oauth-grant-type,mcp-b40-l2000-r2@20,0,10,10,26,20,2,2697,7030,70,0.1648
1039760636,oauth-grant-type,none-b40-l2000-r1@5,0,10,10,53,20,8,2599,45939,422,0.5381
1039760681,oauth-grant-type,none-b40-l2000-r1@10,0,10,10,33,20,5,2845,10087,95,0.2140
1039760683,oauth-grant-type,none-b40-l2000-r1@20,0,10,10,26,20,2,2869,7221,75,0.1734
1039760685,oauth-grant-type,none-b40-l2000-r2@5,0,10,10,39,20,6,2630,14224,126,0.3181
1039760697,oauth-grant-type,none-b40-l2000-r2@10,0,10,10,41,20,7,3054,22846,202,0.3606
1039760699,oauth-grant-type,none-b40-l2000-r2@20,0,10,10,25,20,2,2961,6842,68,0.1442
1039761044,client-auth-method,oracle-gold,0,9,9,30,20,1,3083,10774,181,0.2157
1039761157,client-auth-method,oracle-gold,0,9,9,35,20,3,3083,10261,87,0.2254
