run,case,cond,replicate,budget,passed,total,compiled,repairRounds,agentTestsDiscarded,agentNonSourceFiles,calls,used,refused,tokens,secs,usd
1044788444,cc-refresh-token,baseline,61,15,,9,0,3,0,1,40,15,4,23790,215,0.3368
1044788446,cc-refresh-token,baseline,62,15,1,9,1,1,0,0,36,15,6,14476,110,0.2397
1044788448,cc-refresh-token,baseline,63,15,,9,0,3,1,7,55,15,11,33659,264,0.5317
1044788438,cc-refresh-token,oracle-gold,61,15,9,9,1,0,1,0,23,15,2,9106,70,0.1586
1044788440,cc-refresh-token,oracle-gold,62,15,9,9,1,0,1,0,21,15,1,7811,66,0.1509
1044788442,cc-refresh-token,oracle-gold,63,15,9,9,1,0,1,0,25,15,2,15345,147,0.2487
1044788456,client-auth-method,baseline,61,15,5,9,1,3,0,3,51,15,5,28426,250,0.4603
1044788462,client-auth-method,baseline,62,15,,9,0,3,0,5,39,15,4,22503,194,0.3135
1044788464,client-auth-method,baseline,63,15,,9,0,3,1,0,27,15,5,7440,72,0.1600
1044788450,client-auth-method,oracle-gold,61,15,6,9,1,1,1,0,23,15,2,13172,95,0.1882
1044788452,client-auth-method,oracle-gold,62,15,7,9,1,0,1,0,34,15,2,17027,115,0.2630
1044788454,client-auth-method,oracle-gold,63,15,9,9,1,0,1,0,25,15,1,9455,101,0.1918
1044788472,oauth-grant-type,baseline,61,25,6,10,1,1,0,0,36,25,3,9860,91,0.2446
1044788474,oauth-grant-type,baseline,62,25,,10,0,3,1,8,50,25,5,30755,253,0.4718
1044803876,oauth-grant-type,baseline,63,25,6,10,1,1,1,7,59,25,3,32905,264,0.5780
1044788466,oauth-grant-type,oracle-gold,61,25,10,10,1,0,1,0,32,25,1,8099,182,0.2203
1044788468,oauth-grant-type,oracle-gold,62,25,10,10,1,0,1,0,33,25,2,7971,168,0.2188
1044788470,oauth-grant-type,oracle-gold,63,25,10,10,1,0,1,0,33,25,3,8050,100,0.2048
