case,arm,trajectory_id,checkpoint,actual_calls,complete,u_obs,output_tokens,seconds,facts,precedent,run
acquisition__keycloak__client-auth-method,mcp,1039514843,5,5,true,0.4667,6149,83,A1|A2|C1|E1|E2|F1|H2,true,1039514843
acquisition__keycloak__client-auth-method,mcp,1039514843,10,10,true,0.6,11293,160,A1|A2|A3|B1|C1|E1|E2|F1|H2,true,1039514843
acquisition__keycloak__client-auth-method,mcp,1039514843,20,15,false,0.8,16170,232,A1|A2|A3|B1|B2|C1|E1|E2|F1|G1|G2|H2,true,1039514843
acquisition__keycloak__client-auth-method,mcp,1039514843,40,15,false,0.8,16170,232,A1|A2|A3|B1|B2|C1|E1|E2|F1|G1|G2|H2,true,1039514843
acquisition__keycloak__oauth-grant-type,mcp,1039514845,5,5,true,0.5333,6866,69,A1|A2|C1|C2|E1|F1|G2|H1,true,1039514845
acquisition__keycloak__oauth-grant-type,mcp,1039514845,10,10,true,0.7333,13429,136,A1|A2|B1|C1|C2|E1|F1|G1|G2|H1|I1,true,1039514845
acquisition__keycloak__oauth-grant-type,mcp,1039514845,20,16,false,0.7333,19662,222,A1|A2|B1|C1|C2|E1|F1|G1|G2|H1|I1,true,1039514845
acquisition__keycloak__oauth-grant-type,mcp,1039514845,40,16,false,0.7333,19662,222,A1|A2|B1|C1|C2|E1|F1|G1|G2|H1|I1,true,1039514845
acquisition__keycloak__client-auth-method,shell,1039540753,5,5,true,0.0,4218,6,,false,1039540753
acquisition__keycloak__client-auth-method,shell,1039540753,10,10,true,0.2667,5092,9,A1|A2|F1|H2,true,1039540753
acquisition__keycloak__client-auth-method,shell,1039540753,20,20,true,0.4,7811,15,A1|A2|A3|F1|H2|I1,true,1039540753
acquisition__keycloak__client-auth-method,shell,1039540753,40,40,true,0.6,11494,45,A1|A2|A3|C1|E1|F1|G2|H2|I1,true,1039540753
acquisition__keycloak__client-auth-method,shell,1039540755,5,5,true,0.2667,1406,18,A1|A2|F1|H2,true,1039540755
acquisition__keycloak__client-auth-method,shell,1039540755,10,10,true,0.4667,4724,60,A1|A2|A3|B2|E1|F1|H2,true,1039540755
acquisition__keycloak__client-auth-method,shell,1039540755,20,20,true,0.5333,9019,144,A1|A2|A3|B2|E1|F1|G2|H2,true,1039540755
acquisition__keycloak__client-auth-method,shell,1039540755,40,25,false,0.6,11266,175,A1|A2|A3|B2|E1|F1|G2|H2|I1,true,1039540755
acquisition__keycloak__client-auth-method,mcp,1039540757,5,5,true,0.5333,5415,78,A1|A2|A3|C1|E1|F1|G2|H2,true,1039540757
