agentBuildSuccess,agentModel,agentSecondsArena,agentSecondsVerdict,agentTestsFail,agentTestsRun,apiSeconds,apiTransportError,arm,baselineFailing,baselinePassing,bashCalls,budgetExhausted,buildId,cacheCreationTokens,cacheReadTokens,capture,checkpoint,claimedFix,costUsdArena,editCalls,editFraction,editsAndWrites,endContextTokens,execCodeCalls,exitCode,fileCov,ftpClassesPassed,ftpClassesTotal,ftpTampered,ftpTestsFailed,ftpTestsRun,globCalls,grepCalls,grid,inputTokens,layerCov,lostReason,milestone,numTurns,outcome,outputTokens,patchChars,position,postSuiteLine,prewarmSeconds,readCalls,regressions,replicate,step,success,testPatchFilesEdited,toolCalls,upstreamSeconds,upstreamTokens,upstreamToolCalls,usageEventMissing,usdVerdict,usedMcp,verdict,verifierObjective,verifyMavenExit,writeCalls
True,claude-haiku-4-5,1800,1800,0,84,,,mcp2,0,8,40,True,1037248658,,,2,1,False,,26,-0.091,29,126505,0,-1,0.0,5,5,False,,,0,0,fraction,,0.0,,T-1,,solved,,0,0.52,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,28,0,1,13,1,,97,170.0,12246.0,13.0,True,,False,Y=1,True,0,3
True,claude-haiku-4-5,1800,1800,0,7,,,mcp2,0,8,44,True,1037248660,,,2,1,False,,36,-0.091,39,130172,0,-1,0.0,4,5,False,2,77,0,0,fraction,,0.0,,T-1,,failed,,0,0.52,"[ARENA-VERIFY] post-agent full suite: exit=0, 12 classes reported, 9 passing",0,30,0,2,13,0,src/test/resources/test-data.sql,113,170.0,12246.0,13.0,True,,False,Y=0,False,1,3
False,claude-haiku-4-5,1800,1800,2,15,,,mcp2,0,8,43,True,1037248662,,,2,1,False,,33,-0.091,36,117696,0,-1,0.0,4,5,False,5,77,0,0,fraction,,0.0,,T-1,,failed,,0,0.52,"[ARENA-VERIFY] post-agent full suite: exit=143, 4 classes reported, 3 passing",0,25,0,3,13,0,src/test/resources/test-data.sql,104,170.0,12246.0,13.0,True,,False,Y=0,False,1,3
False,claude-haiku-4-5,1800,1800,0,1,,,mcp2,0,8,58,True,1037248664,,,2,1,False,,35,-0.091,38,138535,0,-1,0.0,5,5,False,0,77,0,0,fraction,,0.0,,T-1,,solved,,0,0.52,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,37,0,4,13,1,,133,170.0,12246.0,13.0,True,,False,Y=1,True,0,3
False,claude-haiku-4-5,1800,1800,4,84,,,mcp2,0,8,55,True,1037248666,,,2,1,False,,28,-0.091,31,142139,0,-1,0.0,2,5,False,,,0,0,fraction,,0.0,,T-1,,failed,,0,0.52,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 9 passing",0,31,0,5,13,0,,117,170.0,12246.0,13.0,True,,False,Y=0,False,1,3
True,claude-haiku-4-5,1556,1556,0,77,207,,mcp2,0,8,38,False,1037248668,85047,5464075,2,2,True,0.7792202500000002,17,0.0,17,106501,0,0,0.6154,5,5,False,0,77,0,0,fraction,452,0.8571,,M0,85,solved,24065,19828,0.56,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,29,0,1,14,1,src/test/resources/test-data.sql,84,388.0,33574.0,14.0,False,0.7792,False,Y=1,True,0,0
True,claude-haiku-4-5,1800,1800,0,7,,,mcp2,0,8,55,True,1037248670,,,2,2,False,,18,0.0,18,94703,0,-1,0.6154,4,5,True,0,54,0,0,fraction,,0.8571,,M0,,tampered,,19828,0.56,"[ARENA-VERIFY] post-agent full suite: exit=0, 12 classes reported, 12 passing",0,28,0,2,14,0,"src/test/java/com/sivalabs/ft/features/api/controllers/ReleaseControllerTests.java (FAIL_TO_PASS ORACLE), src/test/java/com/sivalabs/ft/features/api/controllers/ReleaseQueryEndpointsIT.java (FAIL_TO_PASS ORACLE), src/test/java/com/sivalabs/ft/features/config/ReleaseApiSecuritySliceTest.java (FAIL_TO_PASS ORACLE), src/test/java/com/sivalabs/ft/features/domain/ReleaseServiceIntegrationTest.java (FAIL_TO_PASS ORACLE), src/test/java/com/sivalabs/ft/features/domain/ReleaseStatusTransitionValidatorTest.java (FAIL_TO_PASS ORACLE)",101,388.0,33574.0,14.0,True,,False,Y=0,False,0,0
True,claude-haiku-4-5,716,716,0,84,155,,mcp2,0,8,23,False,1037248672,90290,4463851,2,2,True,0.6390326,17,0.0,17,111752,0,0,0.6154,5,5,False,0,77,0,0,fraction,378,0.8571,,M0,67,solved,14736,19828,0.56,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,26,0,3,14,1,,66,388.0,33574.0,14.0,False,0.639,False,Y=1,True,0,0
True,claude-haiku-4-5,651,651,0,84,136,,mcp2,0,8,27,False,1037248674,89852,3381006,2,2,True,0.5250395999999999,13,0.0,14,99414,0,0,0.6154,5,5,False,0,77,0,0,fraction,337,0.8571,,M0,60,solved,13713,19828,0.56,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,18,0,4,14,1,,59,388.0,33574.0,14.0,False,0.525,False,Y=1,True,0,1
True,claude-haiku-4-5,760,760,0,84,148,,mcp2,0,8,32,False,1037267676,94443,4348737,2,2,True,0.6399744499999998,14,0.0,14,104001,0,0,0.6154,5,5,False,0,77,0,0,fraction,390,0.8571,,M0,69,solved,16187,19828,0.56,"[ARENA-VERIFY] post-agent full suite: exit=0, 11 classes reported, 11 passing",0,22,0,5,14,1,,68,388.0,33574.0,14.0,False,0.64,False,Y=1,True,0,0
