capture,arm,build,step,tool,patchChars,files,fileCov,layerCov,layers,dLayerCov,cumOutputTokens,cumOutputCharsProxy,cumToolCalls,cumSeconds,editFraction,isM0,isT,isMfull,isMapi
2,mcp2,1037157415,1,ToolSearch,0,0,0.0,0.0,,0.0,125,58,1,3,-1.1818,0,0,0,0
2,mcp2,1037157415,2,ToolSearch,0,0,0.0,0.0,,0.0,225,58,2,5,-1.0909,0,0,0,0
2,mcp2,1037157415,3,mcp__mcp-steroid__steroid_list_projects,0,0,0.0,0.0,,0.0,268,58,3,8,-1.0,0,0,0,0
2,mcp2,1037157415,4,mcp__mcp-steroid__steroid_execute_code,0,0,0.0,0.0,,0.0,1169,58,4,18,-0.9091,0,0,0,0
2,mcp2,1037157415,5,mcp__mcp-steroid__steroid_execute_code,0,0,0.0,0.0,,0.0,1883,58,5,28,-0.8182,0,0,0,0
2,mcp2,1037157415,6,Read,0,0,0.0,0.0,,0.0,2177,58,6,35,-0.7273,0,0,0,0
2,mcp2,1037157415,7,Read,0,0,0.0,0.0,,0.0,2276,58,7,38,-0.6364,0,0,0,0
2,mcp2,1037157415,8,Read,0,0,0.0,0.0,,0.0,2372,58,8,42,-0.5455,0,0,0,0
2,mcp2,1037157415,9,Read,0,0,0.0,0.0,,0.0,2468,58,9,45,-0.4545,0,0,0,0
2,mcp2,1037157415,10,Read,0,0,0.0,0.0,,0.0,2562,58,10,48,-0.3636,0,0,0,0
2,mcp2,1037157415,11,mcp__mcp-steroid__steroid_execute_code,0,0,0.0,0.0,,0.0,3634,58,11,60,-0.2727,0,0,0,0
2,mcp2,1037157415,12,mcp__mcp-steroid__steroid_execute_code,0,0,0.0,0.0,,0.0,6530,58,12,97,-0.1818,0,0,0,0
2,mcp2,1037157415,13,mcp__mcp-steroid__steroid_execute_code,0,0,0.0,0.0,,0.0,12246,58,13,170,-0.0909,0,0,0,0
2,mcp2,1037157415,14,mcp__mcp-steroid__steroid_execute_code,19828,10,0.6154,0.8571,schema|domain-model|domain-rules|persistence|service|transport,0.8571,33574,58,14,388,0.0,1,1,0,0
2,mcp2,1037157415,15,mcp__mcp-steroid__steroid_execute_code,36107,13,0.8462,1.0,schema|domain-model|domain-rules|persistence|service|transport|api,0.1429,40175,58,15,451,0.0909,0,0,1,1
2,mcp2,1037157415,16,mcp__mcp-steroid__steroid_execute_code,36107,13,0.8462,1.0,schema|domain-model|domain-rules|persistence|service|transport|api,0.0,40450,83,16,459,0.1818,0,0,0,0
2,mcp2,1037157415,17,Bash,36107,13,0.8462,1.0,schema|domain-model|domain-rules|persistence|service|transport|api,0.0,40841,83,17,472,0.2727,0,0,0,0
2,mcp2,1037157415,18,Bash,36107,13,0.8462,1.0,schema|domain-model|domain-rules|persistence|service|transport|api,0.0,41129,83,18,485,0.3636,0,0,0,0
2,mcp2,1037157415,19,Bash,36031,13,0.8462,1.0,schema|domain-model|domain-rules|persistence|service|transport|api,0.0,41397,83,19,506,0.4545,0,0,0,0
2,mcp2,1037157415,20,Bash,36031,13,0.8462,1.0,schema|domain-model|domain-rules|persistence|service|transport|api,0.0,41612,114,20,517,0.5455,0,0,0,0
2,mcp2,1037157415,21,Bash,36031,13,0.8462,1.0,schema|domain-model|domain-rules|persistence|service|transport|api,0.0,41907,114,21,550,0.6364,0,0,0,0
2,mcp2,1037157415,22,Bash,36031,13,0.8462,1.0,schema|domain-model|domain-rules|persistence|service|transport|api,0.0,42112,166,22,669,0.7273,0,0,0,0
2,mcp2,1037157415,23,Bash,36031,13,0.8462,1.0,schema|domain-model|domain-rules|persistence|service|transport|api,0.0,43013,166,23,802,0.8182,0,0,0,0
2,mcp2,1037157415,24,mcp__mcp-steroid__steroid_execute_code,36992,13,0.8462,1.0,schema|domain-model|domain-rules|persistence|service|transport|api,0.0,43538,166,24,809,0.9091,0,0,0,0
2,mcp2,1037157415,25,Bash,36992,13,0.8462,1.0,schema|domain-model|domain-rules|persistence|service|transport|api,0.0,44185,166,25,817,1.0,0,0,0,0
2,none2,1037157425,1,Bash,0,0,0.0,0.0,,0.0,237,99,1,3,-0.4688,0,0,0,0
2,none2,1037157425,2,Bash,0,0,0.0,0.0,,0.0,237,99,2,4,-0.4375,0,0,0,0
2,none2,1037157425,3,Bash,0,0,0.0,0.0,,0.0,640,99,3,9,-0.4062,0,0,0,0
2,none2,1037157425,4,Read,0,0,0.0,0.0,,0.0,640,99,4,10,-0.375,0,0,0,0
2,none2,1037157425,5,Read,0,0,0.0,0.0,,0.0,853,99,5,14,-0.3438,0,0,0,0
2,none2,1037157425,6,Read,0,0,0.0,0.0,,0.0,853,99,6,14,-0.3125,0,0,0,0
2,none2,1037157425,7,Read,0,0,0.0,0.0,,0.0,1101,99,7,18,-0.2812,0,0,0,0
2,none2,1037157425,8,Bash,0,0,0.0,0.0,,0.0,1101,99,8,19,-0.25,0,0,0,0
2,none2,1037157425,9,Bash,0,0,0.0,0.0,,0.0,1734,99,9,26,-0.2188,0,0,0,0
2,none2,1037157425,10,Bash,0,0,0.0,0.0,,0.0,2356,99,10,35,-0.1875,0,0,0,0
2,none2,1037157425,11,Read,0,0,0.0,0.0,,0.0,3596,99,11,50,-0.1562,0,0,0,0
2,none2,1037157425,12,Bash,0,0,0.0,0.0,,0.0,3596,99,12,51,-0.125,0,0,0,0
2,none2,1037157425,13,Bash,0,0,0.0,0.0,,0.0,3976,99,13,57,-0.0938,0,0,0,0
2,none2,1037157425,14,Bash,0,0,0.0,0.0,,0.0,11711,99,14,146,-0.0625,0,0,0,0
2,none2,1037157425,15,Bash,0,0,0.0,0.0,,0.0,11711,99,15,147,-0.0312,0,0,0,0
2,none2,1037157425,16,Write,456,1,0.0,0.1429,schema,0.1429,17430,99,16,744,0.0,1,1,0,0
2,none2,1037157425,17,Read,456,1,0.0,0.1429,schema,0.0,17430,99,17,752,0.0312,0,0,0,0
2,none2,1037157425,18,Edit,988,2,0.0769,0.2857,schema|domain-model,0.1429,17521,99,18,757,0.0625,0,0,0,0
2,none2,1037157425,19,Bash,2457,3,0.0769,0.2857,schema|domain-model,0.0,18106,99,19,765,0.0938,0,0,0,0
2,none2,1037157425,20,Read,2457,3,0.0769,0.2857,schema|domain-model,0.0,18106,99,20,767,0.125,0,0,0,0
2,none2,1037157425,21,Edit,3264,4,0.1538,0.2857,schema|domain-model,0.0,18807,140,21,776,0.1562,0,0,0,0
2,none2,1037157425,22,Edit,4036,4,0.1538,0.2857,schema|domain-model,0.0,18807,140,22,779,0.1875,0,0,0,0
2,none2,1037157425,23,Read,4036,4,0.1538,0.2857,schema|domain-model,0.0,18915,140,23,786,0.2188,0,0,0,0
2,none2,1037157425,24,Read,4036,4,0.1538,0.2857,schema|domain-model,0.0,19212,140,24,792,0.25,0,0,0,0
2,none2,1037157425,25,Edit,4744,5,0.2308,0.4286,schema|domain-model|transport,0.1429,19972,140,25,800,0.2812,0,0,0,0
2,none2,1037157425,26,Edit,5513,6,0.2308,0.4286,schema|domain-model|transport,0.0,19972,140,26,801,0.3125,0,0,0,0
2,none2,1037157425,27,Write,7388,7,0.3077,0.5714,schema|domain-model|domain-rules|transport,0.1429,20154,140,27,807,0.3438,0,0,0,0
2,none2,1037157425,28,Write,8852,8,0.3846,0.5714,schema|domain-model|domain-rules|transport,0.0,20154,140,28,807,0.375,0,0,0,0
2,none2,1037157425,29,Read,8852,8,0.3846,0.5714,schema|domain-model|domain-rules|transport,0.0,20755,140,29,814,0.4062,0,0,0,0
2,none2,1037157425,30,Edit,10150,9,0.4615,0.7143,schema|domain-model|domain-rules|service|transport,0.1429,20755,140,30,816,0.4375,0,0,0,0
2,none2,1037157425,31,Read,10150,9,0.4615,0.7143,schema|domain-model|domain-rules|service|transport,0.0,22082,194,31,826,0.4688,0,0,0,0
2,none2,1037157425,32,Edit,11156,10,0.5385,0.7143,schema|domain-model|domain-rules|service|transport,0.0,22082,194,32,829,0.5,0,0,0,0
2,none2,1037157425,33,Read,11156,10,0.5385,0.7143,schema|domain-model|domain-rules|service|transport,0.0,22210,194,33,834,0.5312,0,0,0,0
2,none2,1037157425,34,Edit,11966,11,0.6154,0.7143,schema|domain-model|domain-rules|service|transport,0.0,22687,194,34,841,0.5625,0,0,0,0
2,none2,1037157425,35,Write,13791,12,0.6154,0.8571,schema|domain-model|domain-rules|persistence|service|transport,0.1429,22687,194,35,841,0.5938,0,0,0,0
2,none2,1037157425,36,Read,13791,12,0.6154,0.8571,schema|domain-model|domain-rules|persistence|service|transport,0.0,23259,194,36,850,0.625,0,0,0,0
2,none2,1037157425,37,Write,16406,13,0.6923,0.8571,schema|domain-model|domain-rules|persistence|service|transport,0.0,23259,194,37,850,0.6562,0,0,0,0
2,none2,1037157425,38,Read,16406,13,0.6923,0.8571,schema|domain-model|domain-rules|persistence|service|transport,0.0,23525,194,38,855,0.6875,0,0,0,0
2,none2,1037157425,39,Write,25044,14,0.7692,0.8571,schema|domain-model|domain-rules|persistence|service|transport,0.0,25087,232,39,867,0.7188,0,0,0,0
2,none2,1037157425,40,Read,25044,14,0.7692,0.8571,schema|domain-model|domain-rules|persistence|service|transport,0.0,25087,232,40,871,0.75,0,0,0,0
2,none2,1037157425,41,Write,37711,15,0.8462,1.0,schema|domain-model|domain-rules|persistence|service|transport|api,0.1429,25176,232,41,877,0.7812,0,0,1,1
2,none2,1037157425,42,Read,37711,15,0.8462,1.0,schema|domain-model|domain-rules|persistence|service|transport|api,0.0,26065,232,42,888,0.8125,0,0,0,0
