arm,step,editFraction,patchChars,runs,graded,solved,tampered,lost,V,V_lo,V_hi,V_tamper_as_fail,V_tamper_as_fail_lo,V_tamper_as_fail_hi,outTok_n,outTok_mean,outTok_lo,outTok_hi,outTok_median,endCtx_n,endCtx_mean,endCtx_lo,endCtx_hi,endCtx_median,usd_n,usd_mean,usd_lo,usd_hi,usd_median,sec_n,sec_mean,sec_lo,sec_hi,sec_median,turns_n,turns_mean,turns_lo,turns_hi,turns_median,tools_n,tools_mean,tools_lo,tools_hi,tools_median,edits_n,edits_mean,edits_lo,edits_hi,edits_median,partial_mean,partial_n,partial_failed_mean,partialTests_mean,partialTests_n,partialTests_failed_mean
mcp,15,0.0,2435,5,5,2,0,0,0.4,0.1176,0.7693,0.4,0.1176,0.7693,2,25253.0,24023.0,26483.0,25253.0,0,,,,,2,0.9739,0.9674,0.9804,0.9738868500000002,2,1317.0,1292.0,1342.0,1317.0,2,94.5,94.0,95.0,94.5,2,93.5,93.0,94.0,93.5,2,30.0,28.0,32.0,30.0,0.88,5,0.8,0.9773,4,0.9697
mcp,16,0.1,3950,5,4,3,0,1,0.75,0.3006,0.9544,0.75,0.3006,0.9544,1,30299.0,,,30299.0,2,128431.5,122850.0,134013.0,128431.5,1,1.0346,,,1.0346224499999994,3,1635.0,1305.0,1800.0,1800.0,1,100.0,,,100.0,3,101.3333,89.0,116.0,99.0,3,36.3333,29.0,47.0,33.0,0.85,4,0.4,0.8539,4,0.4156
mcp,17,0.2,4407,5,5,4,0,0,0.8,0.3755,0.9638,0.8,0.3755,0.9638,3,28177.6667,24788.0,32055.0,27690.0,1,114793.0,,,114793.0,3,1.0375,0.7885,1.1739,1.1502253999999998,4,1406.0,959.5,1727.5,1531.0,3,105.6667,89.0,116.0,112.0,4,102.5,92.0,113.0,103.5,4,29.0,26.25,31.25,29.5,0.84,5,0.2,1.0,4,
mcp,18,0.3,6639,5,4,3,1,0,0.75,0.3006,0.9544,0.6,0.2307,0.8824,3,24189.6667,23472.0,24944.0,24153.0,3,113313.3333,108339.0,118249.0,113352.0,3,0.8301,0.7306,0.8823,0.8774154000000002,3,1472.6667,1263.0,1770.0,1385.0,3,86.3333,73.0,97.0,89.0,3,85.3333,72.0,96.0,88.0,3,24.3333,22.0,27.0,24.0,0.96,5,0.8,0.9948,5,0.974
mcp,19,0.4,37498,5,5,5,0,0,1.0,0.5655,1.0,1.0,0.5655,1.0,3,4017.3333,2274.0,4902.0,4876.0,5,75103.4,64535.0,88272.6,66529.0,3,0.19,0.1415,0.2315,0.19705685,5,1003.6,426.6,1580.6,703.0,3,23.6667,14.0,32.0,25.0,5,34.8,21.0,50.2,31.0,5,0.8,0.4,1.0,1.0,1.0,5,,1.0,5,
mcp,24,0.8,37288,5,5,5,0,0,1.0,0.5655,1.0,1.0,0.5655,1.0,5,4911.6,3523.2,6300.0,4578.0,5,72829.0,62807.4,84016.2,72537.0,5,0.2901,0.1798,0.4095,0.22047325000000004,5,784.0,423.2,1144.8,486.0,5,32.6,22.4,42.8,30.0,5,31.2,21.4,41.0,29.0,5,0.8,0.4,1.0,1.0,1.0,5,,1.0,5,
none,17,0.0,711,5,5,3,0,0,0.6,0.2307,0.8824,0.6,0.2307,0.8824,3,26663.0,25354.0,28003.0,26632.0,1,108263.0,,,108263.0,3,0.8752,0.7449,1.0049,0.8759606999999999,3,1072.0,1001.0,1199.0,1016.0,3,89.3333,75.0,101.0,92.0,3,88.3333,74.0,100.0,91.0,3,32.0,25.0,39.0,32.0,0.84,5,0.6,0.9416,4,0.8831
none,25,0.2,3511,6,5,4,0,1,0.8,0.3755,0.9638,0.8,0.3755,0.9638,2,22463.0,20918.0,24008.0,22463.0,4,119685.75,115715.0,124232.0,118002.5,2,0.7597,0.6858,0.8336,0.75972755,4,1536.25,1250.25,1800.0,1639.0,2,79.0,71.0,87.0,79.0,4,91.75,76.5,107.75,91.0,4,25.5,19.5,30.5,26.5,0.96,5,0.8,1.0,3,
none,29,0.3,8752,5,2,1,3,0,0.5,0.0945,0.9055,0.2,0.0362,0.6245,1,24664.0,,,24664.0,1,113987.0,,,113987.0,1,0.9127,,,0.9126827,1,1448.0,,,1448.0,1,94.0,,,94.0,1,93.0,,,93.0,1,26.0,,,26.0,0.72,5,0.4,0.8896,4,0.7143
none,33,0.4,12669,6,5,5,0,1,1.0,0.5655,1.0,1.0,0.5655,1.0,4,20528.25,18396.75,24267.5,18920.5,5,110276.0,106410.4,114228.4,107598.0,4,0.784,0.6083,1.0604,0.6832512999999998,5,1264.6,917.8,1611.4,1329.0,4,81.25,63.0,107.75,73.0,5,80.8,65.4,101.0,74.0,5,20.2,18.8,21.6,20.0,1.0,5,,1.0,5,
