buildId,arm,step,editFraction,position,replicate,grid,inGrid,isBaselineTree,verdict,outcome,success,lostReason,ftpTampered,testPatchFilesEdited,patchChars,ftpClassesPassed,ftpClassesTotal,ftpClassScore,ftpTestsRun,ftpTestsFailed,ftpTestScore,verifierObjective,regressions,claimedFix,usedMcp,exitCode,budgetExhausted,apiTransportError,usageEventMissing,agentSecondsArena,prewarmSeconds,numTurns,apiSeconds,endContextTokens,inputTokens,outputTokens,cacheCreationTokens,cacheReadTokens,costUsdArena,usdVerdict,toolCalls,readCalls,editCalls,writeCalls,globCalls,grepCalls,bashCalls,execCodeCalls,editsAndWrites,agentTestsRun,agentTestsFail,agentBuildSuccess,baselinePassing,baselineFailing,verifyMavenExit,agentModel
1035498264,mcp,2,,0.0769,1,position,False,True,Y=1,solved,1,,False,src/test/resources/test-data.sql,0,5,5,1.0,77,0,1.0,True,0,True,False,0,False,,False,1383,0,107,292,,538,37096,102349,8307671,1.1504433499999998,,106,30,35,4,0,0,37,0,39,84,0,True,8,0,0,claude-haiku-4-5
1035498266,mcp,2,,0.0769,2,position,False,True,Y=1,solved,1,,False,,0,5,5,1.0,,,,True,0,True,False,0,False,,False,1288,0,1,270,,10,179,104659,21157,1.1965152000000003,,98,26,36,3,0,0,33,0,39,23,0,True,8,0,0,claude-haiku-4-5
1035498268,mcp,2,,0.0769,3,position,False,True,Y=0,failed,0,,False,src/test/resources/test-data.sql,0,4,5,0.8,77,1,0.987012987012987,False,0,False,False,-1,False,,True,1800,0,,,,,,,,,,109,23,31,3,0,0,52,0,34,7,0,True,8,0,1,claude-haiku-4-5
1035498272,mcp,2,,0.0769,5,position,False,True,Y=0,failed,0,,False,src/test/resources/test-data.sql,0,2,5,0.4,77,23,0.7012987012987013,False,0,False,False,-1,False,,True,1800,0,,,,,,,,,,90,24,24,3,0,0,39,0,27,25,0,False,8,0,1,claude-haiku-4-5
1035498274,mcp,15,0.0,0.5769,1,position,True,False,Y=1,solved,1,,False,,2435,5,5,1.0,77,0,1.0,True,0,True,False,0,False,,False,1342,0,95,235,,1222,26483,105864,6957150,0.9674090000000003,,94,25,28,4,0,0,37,0,32,84,0,True,8,0,0,claude-haiku-4-5
1035503876,mcp,15,0.0,0.5769,2,position,True,False,Y=0,failed,0,,False,src/test/resources/test-data.sql,2435,4,5,0.8,77,1,0.987012987012987,False,0,False,False,-1,False,,True,1800,0,,,,,,,,,,118,27,33,2,0,0,56,0,35,25,0,False,8,0,1,claude-haiku-4-5
1035503878,mcp,15,0.0,0.5769,3,position,True,False,Y=0,failed,0,,False,src/test/resources/test-data.sql,2435,4,5,0.8,77,5,0.935064935064935,False,0,True,False,0,False,,False,1532,0,135,322,,732,33659,118059,10379523,1.36027505,,134,31,42,2,0,0,59,0,44,84,0,True,8,0,1,claude-haiku-4-5
1035503880,mcp,15,0.0,0.5769,4,position,True,False,Y=0,failed,0,,False,src/test/resources/test-data.sql,2435,4,5,0.8,77,1,0.987012987012987,False,0,False,False,-1,False,,True,1800,0,,,,,,,,,,120,31,32,3,0,0,54,0,35,23,1,False,8,0,1,claude-haiku-4-5
1035503882,mcp,15,0.0,0.5769,5,position,True,False,Y=1,solved,1,,False,,2435,5,5,1.0,,,,True,0,True,False,0,False,,False,1292,0,94,233,,512,24023,115792,7092707,0.9803647,,93,23,25,3,0,0,42,0,28,84,0,True,8,0,0,claude-haiku-4-5
1035503884,mcp,16,0.1,0.6154,1,position,True,False,Y=0,failed,0,,False,src/test/resources/test-data.sql,3950,2,5,0.4,77,45,0.4155844155844156,False,7,True,False,0,False,,False,860,0,98,253,,533,25861,95703,6762242,0.93141795,,97,30,26,0,0,0,41,0,26,25,0,True,8,0,1,claude-haiku-4-5
1035674854,mcp,16,0.1,0.6154,2,fraction,True,False,Y=1,solved,1,,False,,3951,5,5,1.0,77,0,1.0,True,0,False,False,-1,False,,True,1800,0,,,122850,,,,,,,89,23,28,1,0,0,37,0,29,84,0,True,8,0,0,claude-haiku-4-5
1035674856,mcp,16,0.1,0.6154,3,fraction,True,False,LOST,lost,,no-grade,False,src/test/resources/test-data.sql,3951,,,,77,2,0.974025974025974,,,False,False,-1,False,,True,1800,0,,,143231,,,,,,,125,38,31,2,0,0,54,0,33,15,0,False,8,0,1,claude-haiku-4-5
1035503891,mcp,16,0.1,0.6154,4,position,True,False,Y=1,solved,1,,False,,3950,5,5,1.0,77,0,1.0,True,0,False,False,-1,False,,True,1800,0,,,,,,,,,,116,27,46,1,0,0,42,0,47,70,2,False,8,0,0,claude-haiku-4-5
1035674858,mcp,16,0.1,0.6154,5,fraction,True,False,Y=1,solved,1,,False,src/test/resources/test-data.sql,3951,5,5,1.0,77,0,1.0,True,0,True,False,0,False,,False,1305,0,100,270,134013,554,30299,112787,7358677,1.0346224499999994,1.0346,99,33,31,2,0,0,33,0,33,77,0,True,8,0,0,claude-haiku-4-5
1035503895,mcp,17,0.2,0.6538,1,position,True,False,Y=1,solved,1,,False,,4407,5,5,1.0,77,0,1.0,True,0,True,False,0,False,,False,1510,0,112,257,,555,27690,128778,8445259,1.1502253999999998,,111,36,29,0,0,0,46,0,29,77,0,True,8,0,0,claude-haiku-4-5
1035503897,mcp,17,0.2,0.6538,2,position,True,False,Y=1,solved,1,,False,src/test/resources/test-data.sql,4407,5,5,1.0,77,0,1.0,True,0,True,False,0,False,,False,1552,0,116,294,,643,32055,102611,8789474,1.1738561500000002,,115,37,30,0,0,0,48,0,30,84,0,True,8,0,0,claude-haiku-4-5
1035674860,mcp,17,0.2,0.6538,3,fraction,True,False,Y=1,solved,1,,False,,4408,5,5,1.0,77,0,1.0,True,0,False,False,-1,False,,True,1800,0,,,114793,,,,,,,96,25,32,0,0,0,39,0,32,84,0,True,8,0,0,claude-haiku-4-5
1035674862,mcp,17,0.2,0.6538,4,fraction,True,False,Y=0,failed,0,,False,src/test/resources/test-data.sql,4408,1,5,0.2,,,,False,0,False,False,-1,False,,True,1800,0,,,112443,,,,,,,112,31,28,0,0,0,53,0,28,15,1,True,8,0,137,claude-haiku-4-5
1035503903,mcp,17,0.2,0.6538,5,position,True,False,Y=1,solved,1,,False,,4407,5,5,1.0,77,0,1.0,True,0,True,False,0,False,,False,762,0,89,217,,499,24788,88068,5482573,0.7885082999999998,,88,29,25,0,0,0,34,0,25,77,0,True,8,0,0,claude-haiku-4-5
1035674868,mcp,18,0.3,0.6923,1,fraction,True,False,Y=0,tampered,0,,True,"src/test/java/com/sivalabs/ft/features/api/controllers/ReleaseControllerTests.java (FAIL_TO_PASS ORACLE), src/test/resources/test-data.sql",6639,5,5,1.0,77,0,1.0,True,0,False,False,-1,False,,True,1800,0,,,123903,,,,,,,113,38,32,0,0,0,43,0,32,84,0,False,8,0,0,claude-haiku-4-5
1035674870,mcp,18,0.3,0.6923,2,fraction,True,False,Y=1,solved,1,,False,,6639,5,5,1.0,77,0,1.0,True,0,True,False,0,False,,False,1385,0,73,200,113352,405,24153,92069,4886325,0.7306157500000002,0.7306,72,25,22,0,0,0,25,0,22,84,0,True,8,0,0,claude-haiku-4-5
1035674872,mcp,18,0.3,0.6923,3,fraction,True,False,Y=1,solved,1,,False,,6639,5,5,1.0,77,0,1.0,True,0,True,False,0,False,,False,1263,0,89,267,118249,490,24944,96972,6301458,0.8822978000000004,0.8823,88,29,27,0,0,0,32,0,27,84,0,True,8,0,0,claude-haiku-4-5
1035674874,mcp,18,0.3,0.6923,4,fraction,True,False,Y=0,failed,0,,False,src/test/resources/test-data.sql,6639,4,5,0.8,77,2,0.974025974025974,False,0,False,False,-1,False,,True,1800,0,,,124157,,,,,,,119,50,25,1,0,0,43,0,26,84,0,True,8,0,1,claude-haiku-4-5
1035678846,mcp,18,0.3,0.6923,5,fraction,True,False,Y=1,solved,1,,False,,6639,5,5,1.0,77,0,1.0,True,0,True,False,0,False,,False,1770,0,97,225,108339,540,23472,87060,6449634,0.8774154000000002,0.8774,96,31,24,0,0,0,41,0,24,84,0,True,8,0,0,claude-haiku-4-5
1035678910,mcp,19,0.4,0.7308,1,fraction,True,False,Y=1,solved,1,,False,,37498,5,5,1.0,77,0,1.0,True,0,True,False,0,False,,False,703,0,25,58,63560,144,4876,41997,1143096,0.19705685,0.1971,24,4,1,0,0,0,19,0,1,77,0,True,8,0,0,claude-haiku-4-5
1035678912,mcp,19,0.4,0.7308,2,fraction,True,False,Y=1,solved,1,,False,,37498,5,5,1.0,77,0,1.0,True,0,True,False,0,False,,False,232,0,14,31,64513,85,2274,54951,556165,0.14148725,0.1415,13,4,0,0,0,0,9,0,0,84,0,True,8,0,0,claude-haiku-4-5
1035678914,mcp,19,0.4,0.7308,3,fraction,True,False,Y=1,solved,1,,False,,37498,5,5,1.0,77,0,1.0,True,0,True,False,0,False,,False,483,0,32,76,66529,181,4902,44964,1448586,0.2314766,0.2315,31,17,1,0,0,0,13,0,1,77,0,True,8,0,0,claude-haiku-4-5
1035678916,mcp,19,0.4,0.7308,4,fraction,True,False,Y=1,solved,1,,False,,37498,5,5,1.0,77,0,1.0,True,0,False,False,-1,False,,True,1800,0,,,82471,,,,,,,43,15,1,0,0,0,27,0,1,23,0,True,8,0,0,claude-haiku-4-5
