case,arm,checkpointId,step,layerCov,fileCov,editFraction,upstreamTokens,upstreamToolCalls,upstreamSeconds,n,graded,successes,lost,tampered,censoredSuccesses,V,V_lo,V_hi,RCW_tokens_n,RCW_tokens_mean,RCW_tokens_median,RCW_tokens_lo,RCW_tokens_hi,RCW_tools_n,RCW_tools_mean,RCW_edits_n,RCW_edits_mean,RCW_usd_mean,RCW_sec_mean,RCW_tokens_raw
feature-service-25,fs25-none,C1,10,0.1667,0.0,0.0,7290.0,10.0,81.0,5,5,5,0,0,1,1.0,0.5655,1.0,4,11265.5,11216.5,10613.5,11917.5,5,53.4,5,13.2,0.394,537.8,10528|10699|11734|12101
feature-service-25,fs25-none,C2,24,0.6667,0.5,0.4375,9712.0,24.0,111.0,5,5,5,0,0,0,1.0,0.5655,1.0,5,9727.8,10125,8570.6,10698.6,5,44.6,5,7.8,0.3414,289.4,7821|9009|10125|10381|11303
feature-service-25,fs25-none,C3,30,0.8333,0.5833,0.625,10994.0,30.0,122.0,5,5,5,0,0,1,1.0,0.5655,1.0,4,8186.25,8120.5,7173.5,9199.0,5,40.2,5,5.6,0.3028,488.0,7106|7241|9000|9398
feature-service-25,fs25-none,C4,31,1.0,0.6667,0.6562,11226.0,31.0,125.0,5,5,5,0,0,2,1.0,0.5655,1.0,3,6167.33,6582,5260.0,6660.0,5,35.8,5,4.0,0.2524,537.8,5260|6582|6660
feature-service-25,fs25-none,C5,38,1.0,0.9167,0.875,14032.0,38.0,156.0,5,5,5,0,0,1,1.0,0.5655,1.0,4,3794.0,3845.5,3374.25,4163.0,5,26.0,5,0.0,0.1762,584.2,3164|3686|4005|4321
jhipster-3,jh3-none,C1,13,0.2,0.1111,0.0,6616.0,13.0,80.0,5,5,4,0,0,3,0.8,0.3755,0.9638,1,6647.0,6647,,,4,36.25,4,6.5,0.266,892.8,6647
jhipster-3,jh3-none,C2,15,0.8,0.5556,0.1667,7159.0,15.0,87.0,5,5,5,0,0,1,1.0,0.5655,1.0,4,5097.5,5030.0,4584.5,5610.5,5,28.0,5,0.2,0.2065,767.0,4446|4723|5337|5884
jhipster-3,jh3-none,C3,16,0.8,0.7778,0.25,7159.0,16.0,89.0,5,5,5,0,0,0,1.0,0.5655,1.0,5,4744.2,5032,4108.4,5380.0,5,27.2,5,0.0,0.1799,665.4,3867|3888|5032|5072|5862
jhipster-3,jh3-none,C4,17,1.0,0.7778,0.3333,7497.0,17.0,95.0,5,5,5,0,0,1,1.0,0.5655,1.0,4,4445.5,4372.5,3699.5,5191.5,5,29.4,5,0.4,0.1831,649.6,3541|3858|4887|5496
jhipster-3,jh3-none,C5,18,1.0,0.7778,0.4167,8776.0,18.0,109.0,5,5,5,0,0,1,1.0,0.5655,1.0,4,5548.75,5119.5,4165.0,7361.75,5,40.8,5,0.4,0.2316,598.6,3688|4643|5596|8268
petclinic-36,pc36-none,C1,11,0.3333,0.125,0.0,1989.0,11.0,36.0,5,5,5,0,0,1,1.0,0.5655,1.0,4,8715.0,11189.0,3070.75,11958.5,5,47.0,5,10.0,0.3612,788.6,212|10731|11647|12270
petclinic-36,pc36-none,C2,12,0.6667,0.625,0.1111,2757.0,12.0,44.0,5,5,5,0,0,0,1.0,0.5655,1.0,5,5519.8,5142,3422.0,7693.0,5,37.0,5,4.6,0.2807,485.0,2622|3362|5142|7158|9315
petclinic-36,pc36-none,C3,13,1.0,1.0,0.2222,4166.0,13.0,59.0,5,5,5,0,0,2,1.0,0.5655,1.0,3,4196.67,3845,3715.0,5030.0,5,30.0,5,0.0,0.2059,570.8,3715|3845|5030
petclinic-rest-37,pcr37-mcp,C1,7,0.0,0.0,-0.0625,1850.0,7.0,30.0,5,5,5,0,0,0,1.0,0.5655,1.0,5,4023.4,3946,3593.8,4479.0,5,16.0,5,2.2,0.1359,341.6,3317|3777|3946|4241|4836
petclinic-rest-37,pcr37-mcp,C2,8,0.3333,0.0909,0.0,4156.0,8.0,54.0,5,4,4,0,1,0,1.0,0.5101,1.0,4,6563.25,4787.0,4451.75,10451.0,4,24.75,4,4.0,0.2261,623.2,4299|4664|4910|12380
