arm,step,layerCov,fileCov,isM0,isMmid,isMlast,isT,probed
fs25-none,1,0.0,0.0,0,0,0,0,0
fs25-none,2,0.0,0.0,0,0,0,0,0
fs25-none,3,0.0,0.0,0,0,0,0,0
fs25-none,4,0.0,0.0,0,0,0,0,0
fs25-none,5,0.0,0.0,0,0,0,0,0
fs25-none,6,0.0,0.0,0,0,0,0,0
fs25-none,7,0.0,0.0,0,0,0,0,0
fs25-none,8,0.0,0.0,0,0,0,0,0
fs25-none,9,0.0,0.0,0,0,0,0,0
fs25-none,10,0.1667,0.0,1,0,0,1,1
fs25-none,11,0.1667,0.0,0,0,0,0,0
fs25-none,12,0.3333,0.0833,0,0,0,0,0
fs25-none,13,0.3333,0.0833,0,0,0,0,0
fs25-none,14,0.3333,0.0833,0,0,0,0,0
fs25-none,15,0.3333,0.0833,0,0,0,0,0
fs25-none,16,0.3333,0.0833,0,0,0,0,0
fs25-none,17,0.3333,0.0833,0,0,0,0,0
fs25-none,18,0.3333,0.0833,0,0,0,0,0
fs25-none,19,0.5,0.1667,0,1,0,0,0
fs25-none,20,0.5,0.25,0,0,0,0,0
fs25-none,21,0.5,0.3333,0,0,0,0,0
fs25-none,22,0.5,0.4167,0,0,0,0,0
fs25-none,23,0.6667,0.5,0,0,0,0,0
fs25-none,24,0.6667,0.5,0,0,0,0,1
fs25-none,25,0.6667,0.5,0,0,0,0,0
fs25-none,26,0.8333,0.5,0,0,0,0,0
fs25-none,27,0.8333,0.5,0,0,0,0,0
fs25-none,28,0.8333,0.5833,0,0,0,0,0
fs25-none,29,0.8333,0.5833,0,0,0,0,0
fs25-none,30,0.8333,0.5833,0,0,0,0,1
fs25-none,31,1.0,0.6667,0,0,1,0,1
fs25-none,32,1.0,0.6667,0,0,0,0,0
fs25-none,33,1.0,0.6667,0,0,0,0,0
fs25-none,34,1.0,0.75,0,0,0,0,0
fs25-none,35,1.0,0.75,0,0,0,0,0
fs25-none,36,1.0,0.8333,0,0,0,0,0
fs25-none,37,1.0,0.8333,0,0,0,0,0
fs25-none,38,1.0,0.9167,0,0,0,0,1
fs25-none,39,1.0,0.9167,0,0,0,0,0
fs25-none,40,1.0,0.9167,0,0,0,0,0
fs25-none,41,1.0,0.9167,0,0,0,0,0
fs25-none,42,1.0,0.9167,0,0,0,0,0
