arm,step,layerCov,fileCov,isM0,isMmid,isMlast,isT,probed
jh3-none,1,0.0,0.0,0,0,0,0,0
jh3-none,2,0.0,0.0,0,0,0,0,0
jh3-none,3,0.0,0.0,0,0,0,0,0
jh3-none,4,0.0,0.0,0,0,0,0,0
jh3-none,5,0.0,0.0,0,0,0,0,0
jh3-none,6,0.0,0.0,0,0,0,0,0
jh3-none,7,0.0,0.0,0,0,0,0,0
jh3-none,8,0.0,0.0,0,0,0,0,0
jh3-none,9,0.0,0.0,0,0,0,0,0
jh3-none,10,0.0,0.0,0,0,0,0,0
jh3-none,11,0.0,0.0,0,0,0,0,0
jh3-none,12,0.0,0.0,0,0,0,0,0
jh3-none,13,0.2,0.1111,1,0,0,0,1
jh3-none,14,0.4,0.2222,0,0,0,0,0
jh3-none,15,0.8,0.5556,0,1,0,1,1
jh3-none,16,0.8,0.7778,0,0,0,0,1
jh3-none,17,1.0,0.7778,0,0,1,0,1
jh3-none,18,1.0,0.7778,0,0,0,0,1
jh3-none,19,1.0,0.7778,0,0,0,0,0
jh3-none,20,1.0,0.7778,0,0,0,0,0
jh3-none,21,1.0,0.7778,0,0,0,0,0
jh3-none,22,1.0,0.7778,0,0,0,0,0
jh3-none,23,1.0,0.7778,0,0,0,0,0
jh3-none,24,1.0,0.7778,0,0,0,0,0
jh3-none,25,1.0,0.7778,0,0,0,0,0
