arm,step,layerCov,fileCov,isM0,isMmid,isMlast,isT,probed
pc36-none,1,0.0,0.0,0,0,0,0,0
pc36-none,2,0.0,0.0,0,0,0,0,0
pc36-none,3,0.0,0.0,0,0,0,0,0
pc36-none,4,0.0,0.0,0,0,0,0,0
pc36-none,5,0.0,0.0,0,0,0,0,0
pc36-none,6,0.0,0.0,0,0,0,0,0
pc36-none,7,0.0,0.0,0,0,0,0,0
pc36-none,8,0.0,0.0,0,0,0,0,0
pc36-none,9,0.0,0.0,0,0,0,0,0
pc36-none,10,0.0,0.0,0,0,0,0,0
pc36-none,11,0.3333,0.125,1,0,0,0,1
pc36-none,12,0.6667,0.625,0,1,0,1,1
pc36-none,13,1.0,1.0,0,0,1,0,1
pc36-none,14,1.0,1.0,0,0,0,0,0
pc36-none,15,1.0,1.0,0,0,0,0,0
pc36-none,16,1.0,1.0,0,0,0,0,0
pc36-none,17,1.0,1.0,0,0,0,0,0
pc36-none,18,1.0,1.0,0,0,0,0,0
pc36-none,19,1.0,1.0,0,0,0,0,0
pc36-none,20,1.0,1.0,0,0,0,0,0
