arm,step,layerCov,fileCov,isM0,isMmid,isMlast,isT,probed
pcr37-mcp,1,0.0,0.0,0,0,0,0,0
pcr37-mcp,2,0.0,0.0,0,0,0,0,0
pcr37-mcp,3,0.0,0.0,0,0,0,0,0
pcr37-mcp,4,0.0,0.0,0,0,0,0,0
pcr37-mcp,5,0.0,0.0,0,0,0,0,0
pcr37-mcp,6,0.0,0.0,0,0,0,0,0
pcr37-mcp,7,0.0,0.0,0,0,0,0,1
pcr37-mcp,8,0.3333,0.0909,1,0,0,1,1
pcr37-mcp,9,0.3333,0.0909,0,0,0,0,0
pcr37-mcp,10,0.3333,0.0909,0,0,0,0,0
pcr37-mcp,11,0.3333,0.0909,0,0,0,0,0
pcr37-mcp,12,0.3333,0.0909,0,0,0,0,0
pcr37-mcp,13,0.3333,0.0909,0,0,0,0,0
pcr37-mcp,14,0.3333,0.0909,0,0,0,0,0
pcr37-mcp,15,0.3333,0.0909,0,0,0,0,0
pcr37-mcp,16,0.3333,0.0909,0,0,0,0,0
pcr37-mcp,17,0.3333,0.0909,0,0,0,0,0
pcr37-mcp,18,0.3333,0.0909,0,0,0,0,0
pcr37-mcp,19,0.3333,0.0909,0,0,0,0,0
pcr37-mcp,20,0.3333,0.0909,0,0,0,0,1
pcr37-mcp,21,0.3333,0.0909,0,0,0,0,0
pcr37-mcp,22,0.3333,0.0909,0,0,0,0,0
pcr37-mcp,23,0.3333,0.0909,0,0,0,0,0
pcr37-mcp,24,0.3333,0.0909,0,0,0,0,0
