arm,step,layerCov,fileCov,isM0,isMmid,isMlast,isT,probed
sb31-mcp,1,0.0,0.0,0,0,0,0,0
sb31-mcp,2,0.0,0.0,0,0,0,0,0
sb31-mcp,3,0.0,0.0,0,0,0,0,0
sb31-mcp,4,0.0,0.0,0,0,0,0,0
sb31-mcp,5,0.0,0.0,0,0,0,0,0
sb31-mcp,6,0.0,0.0,0,0,0,0,0
sb31-mcp,7,0.1429,0.0,1,0,0,1,1
sb31-mcp,8,0.2857,0.0,0,0,0,0,0
sb31-mcp,9,0.4286,0.0,0,0,0,0,0
sb31-mcp,10,0.5714,0.0,0,1,0,0,1
sb31-mcp,11,0.7143,0.0,0,0,0,0,0
sb31-mcp,12,0.8571,0.0,0,0,0,0,1
sb31-mcp,13,1.0,0.0,0,0,1,0,1
sb31-mcp,14,1.0,0.0909,0,0,0,0,0
sb31-mcp,15,1.0,0.0909,0,0,0,0,0
sb31-mcp,16,1.0,0.0909,0,0,0,0,0
sb31-none,1,0.0,0.0,0,0,0,0,0
sb31-none,2,0.0,0.0,0,0,0,0,0
sb31-none,3,0.0,0.0,0,0,0,0,0
sb31-none,4,0.0,0.0,0,0,0,0,0
sb31-none,5,0.0,0.0,1,0,0,0,1
sb31-none,6,0.0,0.0,0,0,0,0,0
sb31-none,7,0.1429,0.0,0,0,0,1,0
sb31-none,8,0.2857,0.0,0,0,0,0,0
sb31-none,9,0.2857,0.0,0,0,0,0,1
sb31-none,10,0.2857,0.0,0,0,0,0,0
sb31-none,11,0.4286,0.0,0,0,0,0,0
sb31-none,12,0.5714,0.0,0,1,0,0,1
sb31-none,13,0.7143,0.0,0,0,0,0,1
sb31-none,14,0.7143,0.0909,0,0,0,0,0
sb31-none,15,0.7143,0.0909,0,0,0,0,0
sb31-none,16,0.7143,0.0909,0,0,0,0,0
