case,arm,checkpointId,checkpointIndex,step,replicate,buildId,Y,exitReason,outputTokens,inputTokens,toolCalls,editActions,usd,agentSeconds,numTurns,censored,lost,lostReason,budgetExhausted,tampered,agentModel,apiTransportError,editFraction,position,patchChars
springboot3-1,sb31-mcp,C1,1,7,1,1037592003,1,solved,20143,287,51,23,0.4184578000000001,265,52,0,0,,0,0,claude-haiku-4-5,,0.000,0.4375,701
springboot3-1,sb31-mcp,C1,1,7,2,1037592005,1,solved,7373,134,23,9,0.15414645,102,24,0,0,,0,0,claude-haiku-4-5,,0.000,0.4375,701
springboot3-1,sb31-mcp,C1,1,7,3,1037592007,1,solved,7051,141,24,9,0.15801245,95,25,0,0,,0,0,claude-haiku-4-5,,0.000,0.4375,701
springboot3-1,sb31-mcp,C1,1,7,4,1037592009,1,solved,12106,202,37,15,0.28991025,217,38,0,0,,0,0,claude-haiku-4-5,,0.000,0.4375,701
springboot3-1,sb31-mcp,C1,1,7,5,1037592011,1,solved,8571,185,31,13,0.20005425000000002,113,32,0,0,,0,0,claude-haiku-4-5,,0.000,0.4375,701
springboot3-1,sb31-mcp,C2,2,10,1,1037592013,1,solved,4948,107,22,6,0.119598,64,23,0,0,,0,0,claude-haiku-4-5,,0.300,0.6250,7887
springboot3-1,sb31-mcp,C2,2,10,2,1037592015,1,solved,5668,118,23,6,0.13254895,87,24,0,0,,0,0,claude-haiku-4-5,,0.300,0.6250,7887
springboot3-1,sb31-mcp,C2,2,10,3,1037592017,1,solved,5487,162,27,7,0.16177114999999997,103,28,0,0,,0,0,claude-haiku-4-5,,0.300,0.6250,7887
springboot3-1,sb31-mcp,C2,2,10,4,1037592019,1,solved,6031,125,26,7,0.15259295,97,27,0,0,,0,0,claude-haiku-4-5,,0.300,0.6250,7887
springboot3-1,sb31-mcp,C2,2,10,5,1037592021,1,solved,7217,165,29,10,0.19880260000000005,108,30,0,0,,0,0,claude-haiku-4-5,,0.300,0.6250,7887
springboot3-1,sb31-mcp,C3,3,12,1,1037592023,1,solved,10938,177,36,7,0.24448655000000002,154,37,0,0,,0,0,claude-haiku-4-5,,0.600,0.7500,14123
springboot3-1,sb31-mcp,C3,3,12,2,1037592025,1,solved,9382,149,32,7,0.19928410000000002,122,33,0,0,,0,0,claude-haiku-4-5,,0.600,0.7500,14123
springboot3-1,sb31-mcp,C3,3,12,3,1037592027,1,solved,7101,276,29,6,0.16430660000000002,120,30,0,0,,0,0,claude-haiku-4-5,,0.600,0.7500,14123
springboot3-1,sb31-mcp,C3,3,12,4,1037592029,1,solved,6537,135,27,4,0.15845435000000002,112,28,0,0,,0,0,claude-haiku-4-5,,0.600,0.7500,14123
springboot3-1,sb31-mcp,C3,3,12,5,1037592031,1,solved,5711,179,30,6,0.1892135,127,31,0,0,,0,0,claude-haiku-4-5,,0.600,0.7500,14123
springboot3-1,sb31-mcp,C4,4,13,1,1037574696,1,solved,4696,135,29,2,0.16094499999999998,139,30,0,0,,0,0,claude-haiku-4-5,,0.700,0.8125,17847
springboot3-1,sb31-mcp,C4,4,13,2,1037592033,1,solved,4923,152,32,5,0.19171575000000002,94,33,0,0,,0,0,claude-haiku-4-5,,0.700,0.8125,17847
springboot3-1,sb31-mcp,C4,4,13,3,1037592035,1,solved,3793,157,26,2,0.15482285,109,27,0,0,,0,0,claude-haiku-4-5,,0.700,0.8125,17847
springboot3-1,sb31-mcp,C4,4,13,4,1037592037,1,solved,3580,114,23,2,0.12263285000000003,100,24,0,0,,0,0,claude-haiku-4-5,,0.700,0.8125,17847
springboot3-1,sb31-mcp,C4,4,13,5,1037592039,1,solved,3785,130,26,3,0.13969685,96,27,0,0,,0,0,claude-haiku-4-5,,0.700,0.8125,17847
springboot3-1,sb31-none,C1,1,5,1,1037592041,1,solved,8777,168,29,13,0.22350250000000002,151,30,0,0,,0,0,claude-haiku-4-5,,0.000,0.3125,1169
springboot3-1,sb31-none,C1,1,5,2,1037592043,1,solved,10529,175,30,13,0.2193248999999999,146,31,0,0,,0,0,claude-haiku-4-5,,0.000,0.3125,1169
springboot3-1,sb31-none,C1,1,5,3,1037592045,1,solved,18692,308,55,19,0.4727828,316,56,0,0,,0,0,claude-haiku-4-5,,0.000,0.3125,1169
springboot3-1,sb31-none,C1,1,5,4,1037592047,1,solved,8334,175,30,13,0.20658515000000002,144,31,0,0,,0,0,claude-haiku-4-5,,0.000,0.3125,1169
springboot3-1,sb31-none,C1,1,5,5,1037592049,1,solved,18523,228,40,17,0.34012355,241,41,0,0,,0,0,claude-haiku-4-5,,0.000,0.3125,1169
springboot3-1,sb31-none,C2,2,9,1,1037592051,1,solved,8422,2544,33,7,0.25067215,173,34,0,0,,0,0,claude-haiku-4-5,,0.400,0.5625,10084
springboot3-1,sb31-none,C2,2,9,2,1037592053,1,solved,5977,203,30,6,0.1640708,110,31,0,0,,0,0,claude-haiku-4-5,,0.400,0.5625,10084
springboot3-1,sb31-none,C2,2,9,3,1037592055,1,solved,14449,217,43,14,0.31641035,219,44,0,0,,0,0,claude-haiku-4-5,,0.400,0.5625,10084
springboot3-1,sb31-none,C2,2,9,4,1037592057,1,solved,4392,115,22,5,0.1269056,71,23,0,0,,0,0,claude-haiku-4-5,,0.400,0.5625,10084
springboot3-1,sb31-none,C2,2,9,5,1037592059,1,solved,6535,982,31,7,0.16081285,114,32,0,0,,0,0,claude-haiku-4-5,,0.400,0.5625,10084
springboot3-1,sb31-none,C3,3,12,1,1037592061,1,solved,4084,165,27,2,0.15567915000000004,94,28,0,0,,0,0,claude-haiku-4-5,,0.600,0.7500,16021
springboot3-1,sb31-none,C3,3,12,2,1037592063,1,solved,3520,128,21,2,0.1299325,74,22,0,0,,0,0,claude-haiku-4-5,,0.600,0.7500,16021
springboot3-1,sb31-none,C3,3,12,3,1037592065,1,solved,4557,162,27,4,0.18720855000000006,102,28,0,0,,0,0,claude-haiku-4-5,,0.600,0.7500,16021
springboot3-1,sb31-none,C3,3,12,4,1037592067,1,solved,3349,81,18,2,0.09373375000000002,56,19,0,0,,0,0,claude-haiku-4-5,,0.600,0.7500,16021
springboot3-1,sb31-none,C3,3,12,5,1037592069,1,solved,3614,102,23,2,0.14507535000000002,99,24,0,0,,0,0,claude-haiku-4-5,,0.600,0.7500,16021
springboot3-1,sb31-none,C4,4,13,1,1037574698,1,solved,3207,106,23,1,0.12927725,77,24,0,0,,0,0,claude-haiku-4-5,,0.700,0.8125,19587
springboot3-1,sb31-none,C4,4,13,2,1037592071,1,solved,2297,63,17,1,0.07709905,46,18,0,0,,0,0,claude-haiku-4-5,,0.700,0.8125,19587
springboot3-1,sb31-none,C4,4,13,3,1037592073,1,solved,3566,125,24,1,0.15463375000000004,90,25,0,0,,0,0,claude-haiku-4-5,,0.700,0.8125,19587
springboot3-1,sb31-none,C4,4,13,4,1037599075,1,solved,3828,952,24,1,0.1567451,95,25,0,0,,0,0,claude-haiku-4-5,,0.700,0.8125,19587
springboot3-1,sb31-none,C4,4,13,5,1037599077,1,solved,3056,143,23,1,0.15469860000000002,81,24,0,0,,0,0,claude-haiku-4-5,,0.700,0.8125,19587
feature-service-25,fs25-none,C1,1,10,1,1037610501,1,solved,,,55,13,,900,,1,0,,1,0,claude-haiku-4-5,,0.000,0.2381,516
feature-service-25,fs25-none,C1,1,10,2,1037610503,1,solved,11734,300,52,14,0.37685690000000005,328,53,0,0,,0,0,claude-haiku-4-5,,0.000,0.2381,516
feature-service-25,fs25-none,C1,1,10,3,1037610505,1,solved,12101,319,58,13,0.44920335,872,59,0,0,,0,0,claude-haiku-4-5,,0.000,0.2381,516
