case,arm,buildId,step,tool,timestampMs,wallClockSec,cumulativeOutputTokens,cumulativeOutputCharsProxy,cumulativeToolCalls,patchChars,changedFiles,layerCov,fileCov,layers,dLayerCov,editFraction,stateId,sameStateAsPrev,isM0,isMmid,isMlast,isT
feature-service-25,fs25-none,1037545762,1,Bash,1787300205441,3,299,69,1,0,0,0.0,0.0,,0.0,-0.2812,sha1:da39a3ee5e6b4b0d3255bfef95601890afd80709,0,0,0,0,0
feature-service-25,fs25-none,1037545762,2,Bash,1787300206131,4,299,69,2,0,0,0.0,0.0,,0.0,-0.25,sha1:da39a3ee5e6b4b0d3255bfef95601890afd80709,1,0,0,0,0
feature-service-25,fs25-none,1037545762,3,Bash,1787300209729,7,806,69,3,0,0,0.0,0.0,,0.0,-0.2188,sha1:da39a3ee5e6b4b0d3255bfef95601890afd80709,1,0,0,0,0
feature-service-25,fs25-none,1037545762,4,Bash,1787300212070,10,806,69,4,0,0,0.0,0.0,,0.0,-0.1875,sha1:da39a3ee5e6b4b0d3255bfef95601890afd80709,1,0,0,0,0
feature-service-25,fs25-none,1037545762,5,Bash,1787300219182,17,1430,69,5,0,0,0.0,0.0,,0.0,-0.1562,sha1:da39a3ee5e6b4b0d3255bfef95601890afd80709,1,0,0,0,0
feature-service-25,fs25-none,1037545762,6,Bash,1787300239778,37,3315,69,6,0,0,0.0,0.0,,0.0,-0.125,sha1:da39a3ee5e6b4b0d3255bfef95601890afd80709,1,0,0,0,0
feature-service-25,fs25-none,1037545762,7,Bash,1787300240006,38,3315,69,7,0,0,0.0,0.0,,0.0,-0.0938,sha1:da39a3ee5e6b4b0d3255bfef95601890afd80709,1,0,0,0,0
feature-service-25,fs25-none,1037545762,8,Bash,1787300254527,52,4512,69,8,0,0,0.0,0.0,,0.0,-0.0625,sha1:da39a3ee5e6b4b0d3255bfef95601890afd80709,1,0,0,0,0
feature-service-25,fs25-none,1037545762,9,Bash,1787300278934,77,6498,69,9,0,0,0.0,0.0,,0.0,-0.0312,sha1:da39a3ee5e6b4b0d3255bfef95601890afd80709,1,0,0,0,0
feature-service-25,fs25-none,1037545762,10,Write,1787300283494,81,7290,127,10,516,1,0.1667,0.0,schema,0.1667,0.0,sha1:e9e2ff29ab8a61e0a1b61bcda687f4dd1af717bf,0,1,0,0,1
feature-service-25,fs25-none,1037545762,11,Read,1787300285599,83,7290,127,11,516,1,0.1667,0.0,schema,0.0,0.0312,sha1:e9e2ff29ab8a61e0a1b61bcda687f4dd1af717bf,1,0,0,0,0
feature-service-25,fs25-none,1037545762,12,Edit,1787300287640,85,7290,127,12,1248,2,0.3333,0.0833,schema|domain-model,0.1667,0.0625,sha1:d1e516543a3967cd826f0549b71785ea236f021f,0,0,0,0,0
feature-service-25,fs25-none,1037545762,13,Edit,1787300289995,88,7420,127,13,1717,2,0.3333,0.0833,schema|domain-model,0.0,0.0938,sha1:54bbbaf3c603596aea04eece59288d02b4b3984b,0,0,0,0,0
feature-service-25,fs25-none,1037545762,14,Read,1787300293601,91,7743,127,14,1717,2,0.3333,0.0833,schema|domain-model,0.0,0.125,sha1:54bbbaf3c603596aea04eece59288d02b4b3984b,1,0,0,0,0
feature-service-25,fs25-none,1037545762,15,Read,1787300297578,95,8060,127,15,1717,2,0.3333,0.0833,schema|domain-model,0.0,0.1562,sha1:54bbbaf3c603596aea04eece59288d02b4b3984b,1,0,0,0,0
feature-service-25,fs25-none,1037545762,16,Read,1787300301181,99,9241,170,16,1717,2,0.3333,0.0833,schema|domain-model,0.0,0.1875,sha1:54bbbaf3c603596aea04eece59288d02b4b3984b,1,0,0,0,0
feature-service-25,fs25-none,1037545762,17,Read,1787300303298,101,9241,170,17,1717,2,0.3333,0.0833,schema|domain-model,0.0,0.2188,sha1:54bbbaf3c603596aea04eece59288d02b4b3984b,1,0,0,0,0
feature-service-25,fs25-none,1037545762,18,Read,1787300304709,102,9241,170,18,1717,2,0.3333,0.0833,schema|domain-model,0.0,0.25,sha1:54bbbaf3c603596aea04eece59288d02b4b3984b,1,0,0,0,0
feature-service-25,fs25-none,1037545762,19,Edit,1787300306120,104,9241,170,19,2268,3,0.5,0.1667,schema|transport|domain-model,0.1667,0.2812,sha1:106888b3ad745de9b831cbdaf88f2c4f76bb5759,0,0,1,0,0
feature-service-25,fs25-none,1037545762,20,Edit,1787300308108,106,9241,170,20,3035,4,0.5,0.25,schema|transport|domain-model,0.0,0.3125,sha1:77fde562dd3aed9ecc669a7ec81db30c6ee2c7e8,0,0,0,0,0
feature-service-25,fs25-none,1037545762,21,Edit,1787300310868,109,9712,170,21,3802,5,0.5,0.3333,schema|transport|domain-model,0.0,0.3438,sha1:ec98f9911e962afa5c447a7c06f0f7d532a422ca,0,0,0,0,0
feature-service-25,fs25-none,1037545762,22,Edit,1787300311574,109,9712,170,22,4536,6,0.5,0.4167,schema|transport|domain-model,0.0,0.375,sha1:8dcccb3baa723a42e7cf086b45dd601c7fe68f2a,0,0,0,0,0
feature-service-25,fs25-none,1037545762,23,Edit,1787300312281,110,9712,170,23,5696,7,0.6667,0.5,schema|service|transport|domain-model,0.1667,0.4062,sha1:c8406c36cf2c8953a713698c03adb74c15c8cad7,0,0,0,0,0
feature-service-25,fs25-none,1037545762,24,Read,1787300312990,111,9712,170,24,5696,7,0.6667,0.5,schema|service|transport|domain-model,0.0,0.4375,sha1:c8406c36cf2c8953a713698c03adb74c15c8cad7,1,0,0,0,0
feature-service-25,fs25-none,1037545762,25,Read,1787300313046,111,9712,170,25,5696,7,0.6667,0.5,schema|service|transport|domain-model,0.0,0.4688,sha1:c8406c36cf2c8953a713698c03adb74c15c8cad7,1,0,0,0,0
feature-service-25,fs25-none,1037545762,26,Edit,1787300316629,114,10994,170,26,6729,8,0.8333,0.5,schema|persistence|service|transport|domain-model,0.1667,0.5,sha1:24203de332cedcc950c1a5268643069cb73843c9,0,0,0,0,0
feature-service-25,fs25-none,1037545762,27,Bash,1787300318745,116,10994,170,27,6729,8,0.8333,0.5,schema|persistence|service|transport|domain-model,0.0,0.5312,sha1:24203de332cedcc950c1a5268643069cb73843c9,1,0,0,0,0
feature-service-25,fs25-none,1037545762,28,Edit,1787300320157,118,10994,170,28,8715,9,0.8333,0.5833,schema|persistence|service|transport|domain-model,0.0,0.5625,sha1:77d64ca438bda1a7253a721c963ab4efcda661bb,0,0,0,0,0
feature-service-25,fs25-none,1037545762,29,Edit,1787300322279,120,10994,170,29,9249,9,0.8333,0.5833,schema|persistence|service|transport|domain-model,0.0,0.5938,sha1:05aef31ccf1d02536770e2ef11667ca82baef0dd,0,0,0,0,0
feature-service-25,fs25-none,1037545762,30,Read,1787300324163,122,10994,170,30,9249,9,0.8333,0.5833,schema|persistence|service|transport|domain-model,0.0,0.625,sha1:05aef31ccf1d02536770e2ef11667ca82baef0dd,1,0,0,0,0
feature-service-25,fs25-none,1037545762,31,Edit,1787300326997,125,11226,220,31,10292,10,1.0,0.6667,schema|persistence|service|transport|api|domain-model,0.1667,0.6562,sha1:5aabcc00916c1650ffdf3de00f899eb66fa84f33,0,0,0,1,0
feature-service-25,fs25-none,1037545762,32,Edit,1787300327517,125,11226,220,32,10954,10,1.0,0.6667,schema|persistence|service|transport|api|domain-model,0.0,0.6875,sha1:f6bb3fec3eff8c0c42c4c125bd16151c0584389b,0,0,0,0,0
feature-service-25,fs25-none,1037545762,33,Read,1787300332503,130,11683,220,33,10954,10,1.0,0.6667,schema|persistence|service|transport|api|domain-model,0.0,0.7188,sha1:f6bb3fec3eff8c0c42c4c125bd16151c0584389b,1,0,0,0,0
feature-service-25,fs25-none,1037545762,34,Edit,1787300336798,134,11956,220,34,12681,11,1.0,0.75,schema|persistence|service|transport|api|domain-model,0.0,0.75,sha1:824c115a9cb7626418a5845e125e77c8caf78dc0,0,0,0,0,0
feature-service-25,fs25-none,1037545762,35,Read,1787300347283,145,13113,220,35,12681,11,1.0,0.75,schema|persistence|service|transport|api|domain-model,0.0,0.7812,sha1:824c115a9cb7626418a5845e125e77c8caf78dc0,1,0,0,0,0
feature-service-25,fs25-none,1037545762,36,Edit,1787300350941,149,13365,220,36,13686,12,1.0,0.8333,schema|persistence|service|transport|api|domain-model,0.0,0.8125,sha1:292d61f93796dc67c988e3cbbe94b9ffd297d2f4,0,0,0,0,0
feature-service-25,fs25-none,1037545762,37,Read,1787300353830,151,13513,253,37,13686,12,1.0,0.8333,schema|persistence|service|transport|api|domain-model,0.0,0.8438,sha1:292d61f93796dc67c988e3cbbe94b9ffd297d2f4,1,0,0,0,0
feature-service-25,fs25-none,1037545762,38,Edit,1787300358573,156,14032,253,38,15365,13,1.0,0.9167,schema|persistence|service|transport|api|domain-model,0.0,0.875,sha1:ccc1510e62ac1580146c51bf9e9eb5bc8a848761,0,0,0,0,0
feature-service-25,fs25-none,1037545762,39,Bash,1787300360382,158,14032,253,39,15280,13,1.0,0.9167,schema|persistence|service|transport|api|domain-model,0.0,0.9062,sha1:d77cc81f7593e4f51f9d540a23e71420a969877b,0,0,0,0,0
feature-service-25,fs25-none,1037545762,40,Bash,1787300363583,161,14190,253,40,15280,13,1.0,0.9167,schema|persistence|service|transport|api|domain-model,0.0,0.9375,sha1:d77cc81f7593e4f51f9d540a23e71420a969877b,1,0,0,0,0
