buildId,condition,replicate,solved,testsRun,failures,errors,failingOracleMethods
1038465462,baseline,4,0,7,1,3,addsNothingWhenTheEmailHasNoAtSign;addsNothingWhenTheTokenCarriesNoEmail;addsTheDomainOfTheTokensEmail;isOfferedAsABuiltInMapper
1038465464,baseline,5,0,7,0,3,addsNothingWhenTheEmailHasNoAtSign;addsNothingWhenTheTokenCarriesNoEmail;addsTheDomainOfTheTokensEmail
1038465442,mcp-b10-l1000-r1,1,1,7,0,0,
1038465444,mcp-b10-l1000-r1,2,1,7,0,0,
1038465446,mcp-b10-l1000-r1,3,1,7,0,0,
1038465448,mcp-b10-l1000-r1,4,1,7,0,0,
1038465450,mcp-b10-l1000-r1,5,1,7,0,0,
1038568684,mcp-b10-l1000-r2,1,1,7,0,0,
1038568686,mcp-b10-l1000-r2,2,1,7,0,0,
1038568688,mcp-b10-l1000-r2,3,0,7,0,1,isOfferedAsABuiltInMapper
1038568690,mcp-b10-l1000-r2,4,1,7,0,0,
1038568692,mcp-b10-l1000-r2,5,1,7,0,0,
1038568694,mcp-b10-l1000-r3,1,0,7,1,0,isOfferedAsABuiltInMapper
1038568696,mcp-b10-l1000-r3,2,0,7,1,0,isOfferedAsABuiltInMapper
1038568698,mcp-b10-l1000-r3,3,0,7,1,0,isOfferedAsABuiltInMapper
1038568700,mcp-b10-l1000-r3,4,0,7,1,0,isOfferedAsABuiltInMapper
1038568702,mcp-b10-l1000-r3,5,0,7,1,0,isOfferedAsABuiltInMapper
1038566052,mcp-b10-l2000-r1,1,1,7,0,0,
1038566054,mcp-b10-l2000-r1,2,1,7,0,0,
1038566056,mcp-b10-l2000-r1,3,1,7,0,0,
1038566058,mcp-b10-l2000-r1,4,1,7,0,0,
1038566060,mcp-b10-l2000-r1,5,1,7,0,0,
1038568564,mcp-b10-l3000-r1,1,1,7,0,0,
1038568566,mcp-b10-l3000-r1,2,1,7,0,0,
1038568568,mcp-b10-l3000-r1,3,1,7,0,0,
1038568570,mcp-b10-l3000-r1,4,0,7,0,3,addsNothingWhenTheEmailHasNoAtSign;addsNothingWhenTheTokenCarriesNoEmail;addsTheDomainOfTheTokensEmail
1038568572,mcp-b10-l3000-r1,5,1,7,0,0,
1038465422,mcp-b5-l1000-r1,1,0,7,1,0,isOfferedAsABuiltInMapper
1038465424,mcp-b5-l1000-r1,2,0,7,1,0,isOfferedAsABuiltInMapper
1038465426,mcp-b5-l1000-r1,3,1,7,0,0,
1038465428,mcp-b5-l1000-r1,4,0,7,1,0,isOfferedAsABuiltInMapper
1038465430,mcp-b5-l1000-r1,5,0,7,1,0,isOfferedAsABuiltInMapper
1038566032,mcp-b5-l2000-r1,1,1,7,0,0,
1038566034,mcp-b5-l2000-r1,2,0,7,1,0,isOfferedAsABuiltInMapper
1038566036,mcp-b5-l2000-r1,3,1,7,0,0,
1038566038,mcp-b5-l2000-r1,4,1,7,0,0,
1038566040,mcp-b5-l2000-r1,5,0,7,1,0,isOfferedAsABuiltInMapper
1038568314,mcp-b5-l3000-r1,1,1,7,0,0,
1038568390,mcp-b5-l3000-r1,2,1,7,0,0,
1038568450,mcp-b5-l3000-r1,3,1,7,0,0,
1038568509,mcp-b5-l3000-r1,4,1,7,0,0,
1038568552,mcp-b5-l3000-r1,5,1,7,0,0,
1038465452,none-b10-l1000-r1,1,0,7,1,0,isOfferedAsABuiltInMapper
1038465454,none-b10-l1000-r1,2,0,7,1,0,isOfferedAsABuiltInMapper
1038465456,none-b10-l1000-r1,3,0,7,1,0,isOfferedAsABuiltInMapper
1038465458,none-b10-l1000-r1,4,0,7,1,0,isOfferedAsABuiltInMapper
1038465460,none-b10-l1000-r1,5,0,7,1,0,isOfferedAsABuiltInMapper
1038568704,none-b10-l1000-r2,1,0,7,1,0,isOfferedAsABuiltInMapper
1038568706,none-b10-l1000-r2,2,0,7,1,0,isOfferedAsABuiltInMapper
1038568708,none-b10-l1000-r2,3,0,7,1,0,isOfferedAsABuiltInMapper
1038568710,none-b10-l1000-r2,4,0,7,1,0,isOfferedAsABuiltInMapper
1038568712,none-b10-l1000-r2,5,0,7,1,0,isOfferedAsABuiltInMapper
1038568714,none-b10-l1000-r3,1,0,7,1,0,isOfferedAsABuiltInMapper
1038568716,none-b10-l1000-r3,2,0,7,1,0,isOfferedAsABuiltInMapper
1038568718,none-b10-l1000-r3,3,0,7,1,0,isOfferedAsABuiltInMapper
1038568720,none-b10-l1000-r3,4,0,7,1,0,isOfferedAsABuiltInMapper
1038568722,none-b10-l1000-r3,5,0,7,1,0,isOfferedAsABuiltInMapper
1038566062,none-b10-l2000-r1,1,1,7,0,0,
1038566064,none-b10-l2000-r1,2,1,7,0,0,
1038566066,none-b10-l2000-r1,3,1,7,0,0,
1038566068,none-b10-l2000-r1,4,1,7,0,0,
1038566070,none-b10-l2000-r1,5,1,7,0,0,
1038568574,none-b10-l3000-r1,1,1,7,0,0,
1038568676,none-b10-l3000-r1,2,1,7,0,0,
1038568678,none-b10-l3000-r1,3,1,7,0,0,
1038568680,none-b10-l3000-r1,4,0,7,1,0,isOfferedAsABuiltInMapper
1038568682,none-b10-l3000-r1,5,0,7,1,0,isOfferedAsABuiltInMapper
1038465432,none-b5-l1000-r1,1,0,7,0,3,addsNothingWhenTheEmailHasNoAtSign;addsNothingWhenTheTokenCarriesNoEmail;addsTheDomainOfTheTokensEmail
1038465434,none-b5-l1000-r1,2,1,7,0,0,
1038465436,none-b5-l1000-r1,3,0,7,0,3,addsNothingWhenTheEmailHasNoAtSign;addsNothingWhenTheTokenCarriesNoEmail;addsTheDomainOfTheTokensEmail
1038465438,none-b5-l1000-r1,4,1,7,0,0,
1038465440,none-b5-l1000-r1,5,1,7,0,0,
1038566042,none-b5-l2000-r1,1,1,7,0,0,
1038566044,none-b5-l2000-r1,2,1,7,0,0,
1038566046,none-b5-l2000-r1,3,1,7,0,0,
1038566048,none-b5-l2000-r1,4,1,7,0,0,
1038566050,none-b5-l2000-r1,5,1,7,0,0,
1038568554,none-b5-l3000-r1,1,1,7,0,0,
1038568556,none-b5-l3000-r1,2,1,7,0,0,
1038568558,none-b5-l3000-r1,3,1,7,0,0,
1038568560,none-b5-l3000-r1,4,1,7,0,0,
1038568562,none-b5-l3000-r1,5,1,7,0,0,
